年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),0,23.81,37.5,77.61,5.26,0,-73.33,-346.67,-5.56,18.75,15.38,4.48,-47.37,92.31,27.27,75,10.71,-800,75,487.5,148,300,-450,-88.71,-1033.33,438.89,-36.36,685.71,84.82,-125.77,240,-74.55,29.41,-92,-159.52,-171.43,616.67,364.58,-288,790,
2374 佳能 (上市光電業),-295.65,-82.61,19.44,19.23,157.78,900,67.44,19.35,-138.46,-55,12.5,32.43,160,38.89,-43.21,-100,-833.33,-216,-215.22,,22.73,79.31,54.72,-102.63,-100,-600,-37.5,72.73,36.76,766.67,127.27,80.95,81.4,-96.07,566.67,-275,-187.5,90.91,40,193.33,330.43
2409 友達 (上市光電業),108.33,0,192.31,520,1700,11.9,-52.63,-237.1,-205.56,-112.77,41.67,209.41,271.93,1800,80.39,-53.76,-54.08,-87.25,-51.09,-93.02,-184.44,-315.38,-191.11,-3166.67,-39.47,-10.71,173.17,196.74,335.85,764.52,576.67,24.72,-56.8,-128.64,-160.59,-209.01,-362.96,-6.78,89.43,84.3,
3059 華晶科 (上市光電業),283.33,750,-43.75,114.58,-95.45,-55.88,711.11,-7.14,-1900,-93.33,-93.15,153.85,166.67,-700,-180,-90.91,-183.33,450,825,166.67,200,-66.67,-51.72,-87.5,20,171.43,14.29,1300,0,21.05,118.75,0,283.33,47.83,31.43,192.86,-47.83,-2.94,-15.22,-24.39,16.67
3149 正達 (上市光電業),-606.45,-2.52,25.18,-79.61,9.55,-579.14,-101.92,-21.62,104.23,99.91,47.62,63.56,16.67,2900,86.36,95.73,-457.14,-7.14,-6.67,-600,112,-107.69,18.75,65.31,-1133.33,-4400,146.15,-58.82,90.32,102.22,-250,-81.48,-633.33,-2350,-188.89,-6.12,54.55,86.67,34.62,25,
3481 群創 (上市光電業),-89.47,-26.67,862.5,880,4250,63.64,-54.55,-158.12,-198.85,-164.81,-11.43,260.29,238.37,448.57,183.87,-60.55,-74.79,-115.57,-78.41,-116.28,-223.33,-57.89,-305.26,-914.29,-48.65,-63.33,141.03,247.89,309.09,518.37,1006.25,-48.57,-84.35,-121.95,-171.75,-333.33,-555.56,-33.33,83.46,70.63,
3504 揚明光 (上市光電業),-67.21,-54.1,-27.03,385.71,-20,10.71,-7.41,-76.47,-468.75,-316.13,-150,-243.75,1.69,41.79,-36,100,106.9,217.95,397.06,,25,-39.13,-88.12,-783.33,-1600,-210.71,-450,-43.9,62.67,135.48,171.43,116.95,167.86,290.91,90,-720,-494.74,-237.21,-203.51,4.84,-168
4934 太極 (上市光電業),247.06,-66.67,-113.79,-97.22,-80,-145.83,1125,6800,490,354.55,-365.85,-181.16,-230.51,-503.57,95.41,-28.57,16.88,-7.08,-2860,-155.56,76.56,92.56,99.32,-17.93,73.33,433.33,-900,93.09,-1225,-370,-580,-1346.67,43.4,88.89,116.18,135.48,170,422.22,300,-238.96,
6164 華興 (上市光電業),-54.17,-7.32,0,-18.75,-9.09,-44.74,-80.56,-73.08,10,309.52,0,14.29,27.27,-74.42,-14.29,-162.5,-92.86,-95.45,-66.67,440,-400,-500,-1100,-294.12,-433.33,-75,45,148.48,75,214.29,209.09,-162.5,-50,275,-16.67,380,-50,-123.33,-40,-153.57,255.56
6176 瑞儀 (上市光電業),-41.11,-13.75,-13.27,-14.37,-49.7,-97.83,41.84,-1.01,10.59,3933.33,-16.55,-20.68,64.89,35.54,-27.59,-26.92,-80,89.02,113.1,123.98,890.32,3.55,31.28,-57.18,-49.84,16.51,-30.64,64.63,132.47,-40.11,0.31,-23.33,24.86,59.38,21.1,19.32,-64.65,34.45,3.54,-64.37,164.56
光電業,-9.13,-2.36,33.09,32.24,-10.8,-17.21,-22.39,-8,9.22,-0.04,11.37,19.04,-9.97,22.47,23.61,-11.91,8.93,10.07,-6.7,-18.52,25.23,13.87,8.83,3.91,-20.59,-13.08,-12.62,18.92,47.44,1.32,11.96,7.58,-3.95,15.02,27.75,-30.88,-52.39,-30.24,-31.88,-27.53,53.66
