年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),13.4,28.23,32.33,66.46,13.6,13.24,-9.46,-71.23,21.65,31.6,19.39,-59.31,-39.37,-33.56,20.29,63.15,18.74,22.38,71.4,116.97,106.96,176.59,-8.38,-495.11,-412.43,-220.52,36.19,155.52,83.75,58.94,22.25,-88.14,-631.51,-68.4,-8.45,-1894.13,-36.36,13.9,61.37,69.28,
2374 佳能 (上市光電業),-127.51,-81.58,10.19,-116.43,318.91,1286.36,63.26,1212.98,-137.21,-76.3,-105.54,-40.61,134.71,40.7,567.51,-197.12,-1601.84,-382.5,-454.05,-217,21.47,91.3,13.3,36.66,-113.63,-733.17,7.98,24.81,44.07,-60.64,108.19,105.27,72.11,101.16,-0.4,-204.61,-78.84,-1194.69,865.28,1620.8,180.93
2409 友達 (上市光電業),148.33,-24.94,160.17,720.66,1260.73,62.43,-61.34,-113.27,-156.93,-98.18,69.71,1087.36,335.78,9992.43,69.17,-50.67,-75.42,-82.02,-68.5,-125.49,-272.7,-262.9,-277.18,-347.89,-6.79,0.47,148.78,227.2,320.66,695.9,670.13,24.93,-55.92,-122.9,-167.14,-205.45,-310.21,4.75,90.29,53.54,
3059 華晶科 (上市光電業),133.45,3289.8,2.34,202.24,-214.22,-71.6,195.78,-54.15,-234.77,-103.46,-90.34,249.64,161.24,50.99,45.71,-18.03,-66.03,7007.52,113.9,-132.74,-255.26,-164.47,-148.01,-153.55,-20.23,323.52,267.02,98.81,193.62,-32.97,246.36,1083.2,242.14,105.85,-34.6,1643.49,-35.23,-8.28,28.12,-46.69,29.04
3149 正達 (上市光電業),-338.07,-16.77,31,30.16,-90.03,-116.17,-82.18,-70.31,13.91,59.93,31.46,69.08,57.69,72.24,71.93,79.75,84.31,96.42,65.82,-114.01,-43.37,-2146.35,-23.09,64.94,-30.54,-172.54,62.9,-254.22,62.67,85.55,-252.39,34.02,-156.6,-307.17,-127.53,6.98,19.11,68.72,55.04,41.6,
3481 群創 (上市光電業),-64.39,-20.77,123.45,17685.95,851.5,47.75,-48.26,-125.13,-174.91,-132.3,-18.01,582.94,274.14,620.86,182.4,-59.47,-73.83,-95.91,-83.57,-125.22,-220.33,-616.75,-371.03,-398.57,-34.88,-0.57,127.45,240.98,339.45,807.43,1327.28,-49.84,-84.93,-124.13,-180.91,-353.56,-483.94,6.93,89.7,75.18,
3504 揚明光 (上市光電業),-77.84,-61.65,-48.69,722.07,-129.35,-46.23,-3.13,-66.16,-884.95,-505.98,-139.31,-222.9,-20.62,29.22,-91.23,138.56,117.88,161.55,414.61,-101.54,-52.9,-71.3,-91.04,-14270.76,-2283.51,-482.3,-574.89,-22.9,67.11,145.2,179.86,107.16,147.7,153.33,-29.08,-2472.29,-555.85,-306.13,-380.78,7.47,-52.06
4934 太極 (上市光電業),304.04,-41.28,-186.13,-150.24,-111.57,-106.2,237.53,638.37,1563.12,2069.58,-592.16,-199.6,-219.02,-197.67,92.48,66.18,-14.76,-190.37,-953.98,-190.35,74.6,90.08,91.97,9.02,82.1,395.73,-51.98,76.91,-655.37,-294.69,-289.57,-150.11,15.12,77.18,98.24,-3.57,95.22,112.21,936.8,-155.14,
6164 華興 (上市光電業),-52.42,-5.79,-27.11,42.95,15.13,-39.65,-85.38,-21.59,-19.29,-74.59,254.52,34.84,49.51,128.47,-64.89,-114.58,-144.19,-53.84,-75.11,162.72,-56.56,-229.6,-1131.8,-972.28,-2.15,76.16,1.63,21.97,39.13,242.87,161.6,150.39,-9.75,-345.27,-150.41,-261.12,-41.28,-1.18,-184.08,-21.05,124.15
6176 瑞儀 (上市光電業),-30.48,-6.69,-31.49,-42.73,-76.77,-90.24,49.69,20.36,113.93,223.97,-15.2,-26.23,127.37,477.18,1.2,12.26,-43.25,-48.21,32.44,67.91,159.52,129.33,38.01,-16.3,-68.6,59.96,15.64,33.6,221.46,-21.05,-31.61,-12.05,4.38,-42.09,62.96,13.67,-45.65,45.67,-48.49,-32.96,29.04
光電業,-25.38,-10.81,40.41,180.86,202.91,0.3,-93.87,-74.62,-129.87,-93.04,674.94,330.02,585.82,2267.85,64.28,-31.04,-68.14,-72.03,-47.93,-65.34,-114.73,-25.8,-56.53,-100.29,-239.98,4.25,159.5,98013.59,884.3,649.13,145.66,-7.09,-48.69,-93.25,-117.14,-122.74,-179.6,-184.64,162.97,105.32,56.3
