年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-60.34,200.7,170.81,150.47,898.93,46.08,-92.12,-139.17,43.88,29.35,1799.39,-184.03,-163.99,-75.92,-55.44,107.91,56.53,8.6,260.18,2076.44,1058.4,757.09,9.16,-81.66,45.58,-37.09,109.25,938.28,11.72,50.33,-5.41,-25.78,-30.46,-21.98,-7.75,-43.66,-4.58,13.81,1.23,51.85,
2374 佳能 (上市光電業),-24.55,-15.17,-0.31,-1.97,10.13,30.48,-4.69,2.7,-29.07,-35.57,-43.15,-17.48,-1.04,3.49,3.11,-37.57,-42.42,-61.72,-60.25,-49.92,9.45,82.34,-4.42,60.35,-65.38,-59.52,53.81,-23.53,104.9,9.86,36.57,68.15,67.96,132.03,12.7,-4.71,-20.55,-13.47,35.23,38.35,74.99
2409 友達 (上市光電業),51.58,-7.8,49.82,104.04,108.11,11.65,-40.52,-71.27,-97.29,-53.05,23.61,283.85,4375.44,207.69,35.41,-35.14,-53.3,-57.52,-43.57,-63.46,-97.01,-72.74,-103.15,-136.69,-245.62,-13.5,2950.3,1010.86,5250.13,1502.72,253.4,28.98,-35.97,-93.73,-126.5,-126.06,-141.53,15.49,173.53,146.51,
3059 華晶科 (上市光電業),16.04,62.91,6.23,62.43,-8.73,-27.23,39.09,6.65,-10.78,-10.32,-12.83,30.91,59.62,3.62,-28.41,-29.44,-25.52,5,14.6,-21.55,-16.39,-26.54,-28.72,-18.3,7.97,50.7,33.45,112.98,68.91,32.41,83.91,4.66,59.78,31.7,13.53,40.47,-30.73,-18.72,-11.11,-0.24,-3.73
3149 正達 (上市光電業),-114.03,-12.59,330.24,25.44,-743.58,-885.85,-377.29,-87.42,1.83,64.01,37.04,55.78,65.89,95.96,100.57,115.75,113.89,493.54,2950.2,-134.79,-172.06,-167.21,-62.42,261.79,-68.51,79.75,230.34,-197.05,183.65,621.21,-81.03,-56.39,-165.52,-290.41,-776.56,74.91,131.76,141.2,127.34,524.79,
3481 群創 (上市光電業),-37.57,-14.48,44.59,277.53,215.4,32.13,-26.04,-86.26,-122.75,-90.03,-18.6,683.67,603.91,1253.36,84.34,-43.52,-55.51,-72.14,-54.02,-60.05,-90.33,-60.03,-84.17,-130.93,-202.16,-20.81,488.48,1254.09,2518.39,1562.93,288,-23.87,-60.36,-97.77,-133.5,-159.02,-137.42,-48.72,146.04,125.4,
3504 揚明光 (上市光電業),-14.38,-11.06,-9.14,35.48,-4.33,-3.92,0.41,-22.15,-15.46,-39.85,-27.65,-31.71,-27.1,-1.85,-13.98,19.52,47.09,70.55,103.5,7.49,-5.43,-12.39,-33.11,-11.93,-52.31,-24.53,-31.16,-17.03,26.84,-0.53,17.66,5.21,56.14,25.41,1.11,-51.42,-69.3,-64.86,-69.91,-12.49,-53.85
4934 太極 (上市光電業),442.48,-5.38,-93.53,-70.64,-67.53,-64.47,1731.97,594.18,340.53,272.56,-303.26,-124.55,-154.59,-113.55,106.36,100.14,-27.01,-599.08,-1178.45,-122201.8,88.53,109.41,112.57,-7.62,278.26,630.6,-23.19,102.89,-199.43,-141.95,-425.71,-1400.76,40.58,160.94,203.56,228.6,459.89,154.69,95.93,-225.49,
6164 華興 (上市光電業),-12.72,-5.05,-5.95,8.14,5.35,-17.23,-31.35,-20.37,-8.72,-4.62,10.9,16.16,10.11,-3.99,-12.05,-30.01,-32.47,-13.5,-2.73,5.75,-11.32,-29.96,-35.94,-36.43,-30.09,-4.81,-20.4,-19.69,10.63,2.56,60.85,61.85,4.45,-6.02,-14.41,-15.99,-15.35,-13.79,-29.8,-14.63,60.65
6176 瑞儀 (上市光電業),-25.23,0.74,-18.52,-34.45,-43.28,-41.62,29.63,8.97,23.16,11.64,-16.33,-19.34,51.76,114.74,3.8,12.03,-22.39,-24.94,23.56,43.24,78.59,49.42,20.88,-17.68,-55.67,39.76,10.46,28.56,124.86,-16.18,-22.45,-7.95,5.34,-24.32,50.81,11.21,-37.45,23.43,-38.54,-24.77,28.96
光電業,-6.89,-4.42,12.9,49.64,43.84,-3.05,-32.57,-37.24,-59.31,-38.95,29.82,68.96,185.68,108.81,27.52,-17.8,-38.02,-37.85,-23.94,-30.68,-28.7,-3.54,-21.48,-17.65,-13.78,-5.53,30.3,94.4,194.95,144.67,67.88,0.58,-25.36,-57.5,-69.56,-57.03,-70.43,-22.45,47.15,16.89,17.41
