年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),4.58,1.56,-1.9,11.5,6.58,15.24,-0.39,15.19,-1.24,5.72,3.88,13.67,2.35,8.48,-3.69,10.64,-13.24,-1.03,13.03,10.88,-0.76,8.95,-4.76,4.54,-38.64,12.55,-19.3,4.06,2.15,-9.32,-1.98,18.22,-21.11,-13.38,-4.19,12.36,-5.77,-2.66,-12.57,7.48,0.48,14.2,10.35,-8.82,
2374 佳能 (上市光電業),23.87,20.06,-15.41,21.8,3.96,7.2,6.56,12.69,-12.08,14.58,4.07,10.26,1.85,-3.59,6.29,6.31,6.2,4.15,1.44,-4.86,-0.09,-11.9,7.35,-3.27,-0.1,1.22,11.28,4.15,-10.24,-0.72,0.86,1.72,-9.36,-3.29,-8.05,-2.05,-8.76,-1.81,9.99,14.8,-5.58,9.68,18.33,13.95,-3.75
2409 友達 (上市光電業),1.02,8.93,7.27,10.7,6.74,9.91,12.59,10.36,7.73,9.77,5.15,17.91,5.55,6.2,3.34,15.27,15.83,20.83,16.37,21.17,8.08,6.84,7.55,9.88,-0.27,7.27,4.24,10.9,-4.48,0.63,11.05,19.08,19.29,18.97,25.22,25.37,10.83,8.45,-4.85,9.21,-10.78,7.55,5.69,6.86,
3059 華晶科 (上市光電業),-0.42,-0.32,-19.32,14.91,-2.55,-10.58,0.05,34.24,-18.97,-2.5,-0.13,26.29,-17.2,-1.24,-3.97,3.22,9.08,10.68,-11.27,7.72,-2.73,-3.35,1.15,18.29,11.01,6.74,6.75,2.44,-0.8,1.37,5.79,-0.13,-3.08,5.67,-5.95,-0.35,-7.14,-2.54,5.87,11.16,8.16,11.64,-0.2,7.16,8.65
3149 正達 (上市光電業),7.9,6.84,9.45,5.22,8.28,0.42,6.32,3.55,2.42,-7.84,-6.16,-2.29,9.45,-1.54,-8.01,7.79,-2.55,-5.15,-0.11,-7.75,4.36,-6.24,-2.93,2.7,2.88,-3.52,16.63,3.46,2.06,0.04,0.98,13.28,-1.89,4.8,8.53,0.5,8.02,-1.72,1.48,-1.13,3.48,-1.88,2.25,-2.05,
3481 群創 (上市光電業),8.06,11.27,9.32,6.22,4.54,16.25,14.47,19.47,20.05,15.15,19.12,16.02,-2.89,6.12,12.74,13.72,22.31,17,12.38,15.34,13.44,8.58,9.43,11.74,3.41,-4.1,1.81,11.52,-3.29,4.11,4.34,15.14,17.37,35.65,23.99,14.15,4.63,0.14,-9.86,3.9,-0.23,3.92,-0.74,6.86,
3504 揚明光 (上市光電業),23.78,4.05,14.47,22.75,-2.04,-1.39,8.07,5.27,4.85,2.37,4.5,12.42,-8.59,-2.12,-3.14,14.88,3.49,-5.51,-8.4,9.59,-1.59,9.34,3.6,-8.23,16.42,-0.59,6.71,4.81,7.08,-7.78,10.44,18.11,-4.61,3.73,-2.2,-6.74,2.68,8.94,2.43,26.79,4.42,9.12,4.51,4.11,5.08
4934 太極 (上市光電業),10.71,5.29,4.41,2.52,0.31,6.25,-0.19,19.06,-1.75,8.45,10.19,18.97,-5.47,6.47,6.94,7.34,-5.55,3.16,4.57,4.76,2.7,-0.72,-17.16,0.99,0.36,9.04,9.43,7.28,3.57,41.87,-3.2,-3.17,-15.7,-8.48,-13,-18.76,9.66,-3.49,2.57,0.97,14.19,2,85.25,-8.44,
6164 華興 (上市光電業),-6.53,9.49,23.04,11.7,5.87,-0.21,2.52,13.23,4.81,6.69,11.19,22.04,9.09,20.07,11.57,7.71,-1.04,10.7,5.56,15.28,15.11,-3.2,0.5,4.19,5.68,7.05,-4.19,7.56,2.87,-0.85,26.38,-0.15,-8.35,8.43,-9.84,27.65,-6.22,-11.12,16.99,3.5,-0.74,-12,38.26,-12.09,27.29
6176 瑞儀 (上市光電業),-0.1,11.56,12.83,7.77,14.7,6.27,2.33,4.97,9.61,4.27,-13.14,9.12,24.19,6.98,-2.42,5.59,4.12,5.08,2.33,6.26,-5.11,11.56,9.42,7.2,5.62,5.26,9.75,4.16,4.01,1.21,8.72,4.57,4.91,10.58,7.25,4.23,4.98,4.64,18.42,4.25,7.9,3.83,10.25,0.83,16.59
光電業,6.68,7.76,6.5,8.17,5.61,7.98,9.13,12.06,8.02,6.56,6.15,12.62,7.15,4.84,6.19,12.22,11.22,10.36,7.84,13.9,6.24,5.29,6.19,10.32,3.21,4,4.8,11.09,1.48,3.93,6.73,13.74,9.2,10.66,12.66,12.04,7.27,5.17,4.02,10.86,1.88,7.23,5.64,8.59,9.63
