年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),3.51,1.22,-1.35,7.65,4.29,10.3,-0.26,10.01,-0.85,4.23,2.87,8.49,1.49,5.35,-2.33,7.07,-6.84,-0.48,6.98,5.87,-0.46,5.13,-2.76,2.68,-28.99,8.47,-12.3,2.74,1.52,-6.36,-1.14,11.32,-10.62,-8.08,-2.92,7.34,-2.84,-1.45,-6.76,4.27,0.29,9.61,6.88,-4.34,
2374 佳能 (上市光電業),22.74,19.28,-14.79,20.53,3.69,6.82,6.17,12.23,-11.54,14.32,4.02,10.06,1.81,-3.5,6.13,6.18,6.06,4.07,1.41,-4.76,-0.09,-11.63,7.18,-3.19,-0.09,1.19,11.01,4.05,-9.98,-0.7,0.83,1.67,-9.11,-3.22,-7.81,-2,-8.51,-1.77,9.66,14.36,-5.39,9.25,17.56,13.43,-3.62
2409 友達 (上市光電業),0.51,4.5,3.9,6.17,3.54,5.34,7.24,6.63,4.98,6.42,3.4,11.46,3.44,3.36,1.74,7.78,7.87,10.71,8.63,10.5,4.12,4.5,4.85,6.62,-0.15,3.33,1.89,4.71,-1.79,0.26,4.75,8.79,9.25,9.59,16.11,16.8,7,5.19,-2.7,4.58,-4.83,3.47,2.58,2.97,
3059 華晶科 (上市光電業),-0.36,-0.28,-16.71,12.62,-2.16,-9.51,0.05,30.22,-16.51,-2.22,-0.11,23.35,-15.2,-1.11,-3.59,2.92,8.21,9.69,-10.17,7,-2.46,-3.09,0.97,15,8.14,4.9,5.76,2.08,-0.68,1.16,4.94,-0.11,-2.66,4.94,-5.21,-0.31,-6.45,-2.31,5.3,9.94,7.33,9.02,-0.15,5.41,6.19
3149 正達 (上市光電業),4.47,4,4.66,2.83,4.22,0.25,3.39,1.95,1.24,-4.05,-3.52,-1.33,5.11,-0.73,-5.29,5.37,-1.71,-3.51,-0.07,-5.29,2.88,-4.26,-2.46,2.29,2.35,-2.94,10.2,2.2,1.3,0.02,0.52,6.74,-0.81,2.12,3.78,0.22,3.44,-0.7,0.61,-0.43,1.9,-1.04,1.27,-1.12,
3481 群創 (上市光電業),4.73,6.62,5.61,5.96,2.97,11.59,10.54,15.3,13.41,10.32,13.63,11.41,-2.07,4.45,10.13,10.95,21.91,16.71,10.51,13.44,12.11,7.78,8.28,9,2.58,-3.22,1.4,9.28,-2.43,3.25,3.2,11.64,13.1,24.29,16.58,10.13,3.31,0.11,-7.11,2.77,-0.13,2.85,-0.55,4.67,
3504 揚明光 (上市光電業),22.06,3.81,13.55,21.23,-1.9,-1.31,7.51,4.98,4.56,2.27,4.3,11.91,-8.26,-2.05,-2.98,14.14,3.3,-5.33,-6.19,7.29,-1.25,7.84,3.13,-7.04,11.59,-0.44,5.32,3.69,5.33,-5.58,6.57,10.46,-2.77,2.72,-1.65,-3.79,1.63,5.89,1.64,17.61,2.88,6.37,3.35,3.02,3.45
4934 太極 (上市光電業),9.27,4.57,3.81,2.18,0.26,5.28,-0.16,16.01,-1.44,7.07,8.81,16.99,-5.01,5.2,4.95,5.69,-4.36,2.94,3.58,3.69,2.07,-0.58,-12.99,0.74,0.26,6.11,6.14,4.7,2.92,30.09,-2.24,-2.27,-8.62,-4.08,-6.45,-15.79,8.32,-3.03,2.21,0.7,9.85,1.45,58.62,-6.22,
6164 華興 (上市光電業),-5.12,7.43,17.53,9,4.53,-0.18,2.09,10.59,3.86,5.51,8.29,15.74,6.94,14.37,8.16,5.44,-0.75,8.13,4.08,11.35,11.78,-2.56,0.41,3.41,4.43,5.6,-3.42,6.27,2.4,-0.71,20.48,-0.12,-6.49,6.82,-8.27,23.9,-5.49,-9.97,15.04,2.78,-0.57,-9.83,27.82,-8.82,21.18
6176 瑞儀 (上市光電業),-0.09,10.38,10.82,7.33,11.75,4.47,1.59,3.49,6.46,3.04,-11.49,7.39,23.29,6.92,-2.4,5.48,3.99,4.91,2.25,6.17,-5.06,11.49,9.36,7.15,5.56,5.21,9.64,4.03,3.88,1.18,8.49,4.43,4.77,10.31,7.09,4.09,4.76,4.38,16.33,3.67,6.61,3.37,8.86,0.7,14.03
光電業,4.15,5.03,4.28,6.34,3.76,5.58,6.47,9.09,5.81,4.83,4.63,9.23,5.2,3.45,4.5,8.76,8.21,7.72,5.7,10.28,4.57,4.16,4.82,7.86,2.24,2.75,3.27,7.49,0.98,2.72,4.59,9.5,6.45,7.42,9.3,8.85,5.26,3.74,2.77,7.2,1.15,4.67,3.7,5.42,7.59
