年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),4.2,23.19,38.46,81.02,13.17,24.13,-35.13,-325.75,15.2,25.02,23.88,24.32,-35.64,97.12,32.28,72.35,14.05,-2219.31,73.32,450.97,139.84,219.21,-253.41,-95.21,-833.7,468.27,-33.52,1091,84.76,-125.95,234.38,-76.24,28.94,-86.03,-158.97,-168.95,578.37,353.21,-277.51,810.05,
2374 佳能 (上市光電業),-375.28,-84.45,30.14,71.19,173.1,2254.62,46.1,-40.43,-111.24,-79.82,-18.6,52.14,179.98,6.6,-46.06,-104.49,-991.39,-197.16,-205.92,-1398.15,20.09,83.22,50.94,-105.49,-102.35,-901.62,-21.76,74.06,41.97,803.47,147.3,91.9,88.82,-94.54,388.51,-1011.16,-481.29,14.42,17.88,190.5,299.2
2409 友達 (上市光電業),105,1.06,190.86,508.03,3076.53,10.11,-53.71,-225.31,-205.85,-118.14,36.58,201.65,269.07,1213.34,78.17,-56.38,-57.31,-99.56,-47.48,-111.67,-221.48,-7221.67,-209.68,-2044.27,-18.1,-13.23,163.55,197.11,304.94,720.22,563.18,32.82,-56.3,-128.68,-152.54,-184.48,-314.26,16.91,91.2,85.87,
3059 華晶科 (上市光電業),278.86,730.79,-50.42,108.44,-96.8,-69.3,544.07,10.59,-2170.59,-65.22,-85.45,229.39,146.36,-205.01,-119.75,-59.56,-85.75,659.75,1560.08,-92.74,-70.91,-93,-84.47,-821.13,-240.69,1205.31,261.67,270.15,2883.29,-6.38,199.69,-28.33,172.69,41.24,-8.6,416.43,-33.73,-4.77,-0.66,-23.53,36.61
3149 正達 (上市光電業),-621.44,-4,24.92,-80.22,8.14,-567.4,-97.88,-21.03,102.64,99.81,66.56,76.98,9.26,936.77,86.14,95.61,-522.85,6.1,-18.89,-671.3,112.11,-107.13,14.74,62.25,-1190.45,-5132.79,145.24,-56.23,91.22,101.77,-253.08,-78.63,-729.36,-3036.45,-209.53,-15.44,52.27,85.22,56.39,51.07,
3481 群創 (上市光電業),-90.91,-26.02,977.45,932.73,5554.79,79.6,-52.69,-160.27,-199.22,-164.29,-12.17,261.67,238.18,448.67,186.35,-60.49,-75.21,-115.95,-78.16,-116.23,-226.7,-53.67,-303.15,-884.09,-41.31,-60.82,139.62,247.85,319.75,548.4,1108.39,-41.28,-83.55,-122,-168.37,-307.99,-507.78,-21.39,85.18,73.87,
3504 揚明光 (上市光電業),-67.55,-53.88,-27.46,381.53,-21.33,10.74,-6.36,-76.52,-481.39,-320.16,-151.74,-250.85,1.01,41.84,-28.03,106.84,106.25,218.24,403.99,277.14,14,-38.42,-86.77,-776.11,-1890.59,-209.36,-416.94,-39.61,61.4,135.43,171.07,119.16,170.98,279.59,90.9,-658.32,-466.36,-238.72,-203.28,5.69,-167.92
4934 太極 (上市光電業),262.52,-54.79,-119.07,-94.65,-76.72,-148.56,1222.51,4848.89,600.35,407.94,-398.91,-192.93,-247.14,-497.95,95.65,-31.91,16.75,-6.97,-3036.56,-155.11,76.1,92.74,99.56,39.68,86.84,290.53,-871.81,91.07,-1470.25,-415.47,-577.6,-1241.32,24.28,76.56,96.74,120.71,119.14,173.03,1335.45,-405.87,
6164 華興 (上市光電業),-52.67,-5.33,-0.24,-20.14,-9.97,-45.35,-78.04,-75.29,13.4,307.68,-16.67,-8.68,6.43,-78.5,-21.94,-167.84,-92.55,-94.47,-63.35,447.65,-411.21,-409.92,-992.76,-291.4,-360.93,-72.07,46.14,149.11,76.4,227.31,215.99,-155.48,-62.66,281.68,-13.91,398.63,-56.65,-121.87,-48.96,-157.53,249.87
6176 瑞儀 (上市光電業),-39.4,-13.92,-13.25,-14.24,-49.62,-97.69,41.89,-1.32,10.19,3696.11,-16.69,-20.32,65.53,34.92,-27.71,-27.23,-79.87,89.84,113.91,124.47,882.66,3.49,31.04,-57.11,-49.9,16.54,-30.63,64.39,133.01,-40.22,0.39,-23.45,24.62,59.84,20.97,19.25,-64.56,34.1,3.5,-64.7,164.24
光電業,-1.59,-10.41,45.46,100.58,60.48,-20.71,-66.41,-83.84,-82.86,-44.89,32.65,88.7,116.56,138.3,45.34,-24.27,-39.2,-54.56,-34.26,-35.43,-48.45,11.67,-37.99,-61.82,-33.89,-14.23,42.05,99.23,182.11,185.38,148.02,3.55,-47.98,-83.79,-88.79,-117.05,-117.72,-15.2,11.49,19.86,51.84
